score,name
63,hsa-miR-548ay-5p
63,hsa-miR-548au-5p
63,hsa-miR-548as-5p
63,hsa-miR-548ar-5p
63,hsa-miR-548am-5p
63,hsa-miR-548ak
63,hsa-miR-548ae-5p
63,hsa-miR-548ad-5p
62,hsa-miR-208a-5p
62,hsa-miR-3935
62,hsa-miR-2113
62,hsa-miR-7159-5p
62,hsa-miR-548aq-5p
62,hsa-miR-208b-5p
62,hsa-miR-493-5p
62,hsa-miR-6820-3p
62,hsa-miR-3164
62,hsa-miR-6776-3p
62,hsa-miR-3617-3p
62,hsa-miR-6716-5p
62,hsa-miR-10395-5p
62,hsa-miR-1236-3p
62,hsa-miR-3911
62,hsa-miR-3065-5p
62,hsa-miR-937-5p
62,hsa-miR-7157-5p
62,hsa-miR-3688-5p
62,hsa-miR-374a-3p
62,hsa-miR-19b-2-5p
62,hsa-miR-19b-1-5p
62,hsa-miR-19a-5p
62,hsa-miR-649
61,hsa-miR-130a-5p
61,hsa-miR-3942-5p
61,hsa-miR-4766-5p
61,hsa-miR-7112-3p
61,hsa-miR-549a-3p
61,hsa-miR-6797-3p
61,hsa-miR-1238-5p
61,hsa-miR-3976
61,hsa-miR-5010-3p
61,hsa-miR-5197-3p
61,hsa-miR-573
61,hsa-miR-3692-3p
60,hsa-miR-6719-3p
60,hsa-miR-514b-3p
60,hsa-miR-514a-3p
60,hsa-miR-522-3p
60,hsa-miR-224-3p
60,hsa-miR-5197-5p
60,hsa-miR-5571-5p
60,hsa-miR-6771-3p
60,hsa-miR-3674
60,hsa-miR-452-3p
60,hsa-miR-2276-3p
60,hsa-miR-9985
60,hsa-miR-27b-3p
60,hsa-miR-27a-3p
60,hsa-miR-4711-5p
60,hsa-miR-4456
60,hsa-miR-3686
60,hsa-miR-1179
60,hsa-miR-218-1-3p
60,hsa-miR-6761-5p
59,hsa-miR-6806-5p
59,hsa-miR-2355-3p
59,hsa-miR-4312
59,hsa-miR-520h
59,hsa-miR-520g-3p
59,hsa-miR-147a
59,hsa-miR-3613-5p
59,hsa-miR-802
59,hsa-miR-4753-3p
59,hsa-miR-138-2-3p
59,hsa-miR-633
59,hsa-miR-497-3p
59,hsa-miR-3134
58,hsa-miR-567
58,hsa-miR-6792-3p
58,hsa-miR-4691-5p
58,hsa-miR-3182
58,hsa-miR-1269b
58,hsa-miR-1269a
58,hsa-miR-29b-1-5p
58,hsa-miR-12117
58,hsa-miR-6841-5p
58,hsa-miR-148a-5p
58,hsa-miR-548j-5p
58,hsa-miR-548i
58,hsa-miR-548ap-5p
58,hsa-miR-548ab
58,hsa-miR-548a-5p
58,hsa-miR-8063
58,hsa-miR-93-5p
58,hsa-miR-526b-3p
58,hsa-miR-519d-3p
58,hsa-miR-20b-5p
58,hsa-miR-20a-5p
58,hsa-miR-17-5p
58,hsa-miR-106b-5p
58,hsa-miR-106a-5p
58,hsa-miR-183-3p
58,hsa-miR-26b-5p
58,hsa-miR-26a-5p
57,hsa-miR-1468-3p
57,hsa-miR-514a-5p
57,hsa-miR-3972
57,hsa-miR-1202
57,hsa-miR-139-5p
57,hsa-miR-552-3p
57,hsa-miR-4501
57,hsa-miR-524-5p
57,hsa-miR-520d-5p
57,hsa-miR-3912-5p
57,hsa-miR-6507-5p
57,hsa-miR-760
57,hsa-miR-590-3p
57,hsa-miR-3616-5p
57,hsa-miR-4705
57,hsa-miR-571
56,hsa-miR-4465
56,hsa-miR-548aw
56,hsa-miR-4429
56,hsa-miR-320d
56,hsa-miR-320c
56,hsa-miR-320b
56,hsa-miR-320a-3p
56,hsa-miR-1288-3p
56,hsa-miR-3908
56,hsa-miR-4325
56,hsa-miR-20b-3p
56,hsa-miR-532-5p
56,hsa-miR-4668-3p
56,hsa-miR-4529-5p
56,hsa-miR-6510-5p
56,hsa-miR-196b-5p
56,hsa-miR-196a-5p
56,hsa-miR-195-3p
56,hsa-miR-16-2-3p
56,hsa-miR-6801-5p
56,hsa-miR-10393-3p
56,hsa-miR-4754
56,hsa-miR-664a-3p
55,hsa-miR-10522-5p
55,hsa-miR-3619-5p
55,hsa-miR-551b-5p
55,hsa-miR-16-1-3p
55,hsa-miR-4495
55,hsa-miR-519e-5p
55,hsa-miR-515-5p
55,hsa-miR-620
55,hsa-miR-1270
55,hsa-miR-302a-5p
55,hsa-miR-6507-3p
55,hsa-miR-7978
54,hsa-miR-502-5p
54,hsa-miR-4756-3p
54,hsa-miR-6735-3p
54,hsa-miR-182-5p
54,hsa-miR-3977
54,hsa-miR-3646
54,hsa-let-7c-3p
54,hsa-miR-4511
54,hsa-miR-187-5p
54,hsa-miR-548v
54,hsa-miR-3160-3p
54,hsa-miR-543
54,hsa-miR-544a
54,hsa-miR-6757-5p
54,hsa-miR-548e-5p
54,hsa-miR-3129-5p
54,hsa-miR-199b-3p
54,hsa-miR-199a-3p
54,hsa-miR-4445-5p
54,hsa-miR-4295
54,hsa-miR-3666
54,hsa-miR-301b-3p
54,hsa-miR-301a-3p
54,hsa-miR-130b-3p
54,hsa-miR-130a-3p
54,hsa-miR-4474-3p
53,hsa-miR-1911-3p
53,hsa-miR-3622b-3p
53,hsa-miR-3622a-3p
53,hsa-miR-10527-5p
53,hsa-miR-876-3p
53,hsa-miR-651-5p
53,hsa-miR-4766-3p
53,hsa-miR-3529-3p
53,hsa-miR-6076
53,hsa-miR-197-3p
53,hsa-miR-335-3p
53,hsa-miR-125b-2-3p
53,hsa-miR-454-3p
53,hsa-miR-944
53,hsa-miR-206
53,hsa-miR-1-3p
53,hsa-miR-122b-5p
53,hsa-miR-5688
52,hsa-miR-548n
52,hsa-miR-7107-3p
52,hsa-miR-6753-3p
52,hsa-miR-576-5p
52,hsa-miR-767-5p
52,hsa-miR-585-5p
52,hsa-miR-613
52,hsa-miR-4803
52,hsa-miR-95-5p
52,hsa-miR-3614-3p
52,hsa-miR-182-3p
52,hsa-miR-548k
52,hsa-miR-548av-5p
52,hsa-miR-136-5p
52,hsa-miR-192-3p
52,hsa-miR-8054
52,hsa-miR-1279
51,hsa-miR-4303
51,hsa-miR-219b-5p
51,hsa-miR-138-5p
51,hsa-miR-5683
51,hsa-miR-3180-5p
51,hsa-miR-214-3p
51,hsa-miR-4280
51,hsa-miR-6805-3p
51,hsa-miR-5691
51,hsa-miR-555
51,hsa-miR-3649
51,hsa-miR-299-5p
51,hsa-miR-4661-5p
51,hsa-miR-495-3p
51,hsa-miR-5189-3p
51,hsa-miR-5702
51,hsa-miR-875-3p
51,hsa-miR-4282
51,hsa-miR-193b-3p
51,hsa-miR-193a-3p
50,hsa-miR-153-3p
50,hsa-miR-542-3p
50,hsa-miR-578
50,hsa-miR-374b-3p
50,hsa-miR-3659
50,hsa-miR-4275
50,hsa-miR-503-5p
50,hsa-miR-668-3p
50,hsa-miR-10397-5p
