Inital number: 900
Number of literature: 788
Number of final: 169
                  name   score  n_protein  n_seed_locations
43      hsa-miR-139-5p   166.0          2                12
44      hsa-miR-142-5p   164.0          2                 9
80      hsa-miR-361-5p   148.0          2                 6
111     hsa-miR-126-5p   132.0          2                 8
54       hsa-miR-28-3p   160.0          2                 3
19      hsa-miR-29c-3p   184.0          2                10
20      hsa-miR-29b-3p   184.0          2                10
91      hsa-miR-590-3p   140.0          2                10
156    hsa-miR-196a-5p    52.0          1                 1
61      hsa-miR-23b-3p    79.0          1                 4
120    hsa-miR-6833-5p    64.0          1                 4
62      hsa-miR-23a-3p    79.0          1                 4
30     hsa-miR-148a-3p    89.0          1                 7
29     hsa-miR-148b-3p    89.0          1                 7
161     hsa-miR-210-3p    52.0          1                 3
162    hsa-miR-193b-3p    52.0          1                 2
163    hsa-miR-193a-3p    52.0          1                 2
28      hsa-miR-152-3p    89.0          1                 7
167     hsa-miR-150-3p    50.0          1                 4
158    hsa-let-7f-1-3p    52.0          1                 5
82     hsa-miR-320a-3p    73.0          1                 5
149    hsa-miR-9851-3p    54.0          1                 3
102     hsa-miR-26a-5p    68.0          1                 5
114     hsa-miR-142-3p    65.0          1                 3
125      hsa-miR-31-5p    61.0          1                 4
126      hsa-let-7g-3p    61.0          1                 9
113     hsa-miR-511-3p    65.0          1                 2
105     hsa-miR-454-3p    67.0          1                 7
103     hsa-miR-33a-5p    68.0          1                 6
101     hsa-miR-26b-5p    68.0          1                 5
76      hsa-miR-34c-3p    75.0          1                 5
133     hsa-miR-138-5p    59.0          1                 3
98     hsa-miR-7110-3p    69.0          1                 1
94     hsa-miR-130b-3p    69.0          1                 7
90      hsa-miR-324-3p    70.0          1                 4
119     hsa-miR-574-5p    64.0          1                 3
81        hsa-miR-320b    73.0          1                 5
95     hsa-miR-130a-3p    69.0          1                 7
hsa-miR-195-5p
hsa-miR-15b-5p
hsa-miR-15a-5p
hsa-miR-16-5p
hsa-miR-497-5p
hsa-miR-424-5p
hsa-miR-21-3p
hsa-miR-33a-3p
hsa-miR-302c-5p
hsa-miR-103a-3p
hsa-miR-107
hsa-miR-545-3p
hsa-miR-497-3p
hsa-miR-675-3p
hsa-miR-505-3p
hsa-miR-30c-5p
hsa-miR-30d-5p
hsa-miR-30e-5p
hsa-miR-30b-5p
hsa-miR-30a-5p
hsa-miR-141-3p
hsa-miR-653-5p
hsa-miR-200a-3p
hsa-miR-503-5p
hsa-miR-183-3p
hsa-miR-519c-3p
hsa-miR-495-3p
hsa-miR-297
hsa-miR-32-3p
hsa-miR-409-3p
hsa-miR-421
hsa-miR-100-3p
hsa-miR-376a-3p
hsa-miR-330-3p
hsa-miR-222-5p
hsa-miR-145-5p
hsa-miR-30a-3p
hsa-miR-29b-1-5p
hsa-miR-30e-3p
hsa-miR-30d-3p
hsa-miR-3143
hsa-miR-548a-5p
hsa-miR-186-5p
hsa-miR-144-3p
hsa-miR-452-5p
hsa-miR-495-5p
hsa-miR-493-5p
hsa-miR-579-3p
hsa-miR-452-3p
hsa-miR-101-3p
hsa-miR-338-3p
hsa-miR-197-3p
hsa-miR-6510-5p
hsa-miR-542-3p
hsa-miR-103b
hsa-let-7c-3p
hsa-miR-380-3p
hsa-miR-494-3p
hsa-miR-29a-5p
hsa-miR-196a-1-3p
hsa-miR-9-3p
hsa-miR-432-5p
hsa-miR-214-3p
hsa-miR-199a-3p
hsa-miR-195-3p
hsa-miR-199b-3p
hsa-miR-214-5p
hsa-miR-192-3p
hsa-miR-302e
hsa-miR-194-5p
hsa-miR-27b-3p
hsa-miR-136-5p
hsa-miR-27a-3p
hsa-miR-128-3p
hsa-miR-582-3p
hsa-miR-548a-3p
hsa-miR-19a-5p
hsa-miR-148a-5p
hsa-miR-302c-3p
hsa-miR-302b-3p
hsa-miR-485-3p
hsa-miR-302a-3p
hsa-miR-20a-3p
hsa-miR-3941
hsa-miR-1-5p
hsa-miR-379-3p
hsa-miR-302b-5p
hsa-miR-130a-5p
hsa-miR-373-3p
hsa-miR-494-5p
hsa-miR-466
hsa-miR-122-5p
hsa-miR-362-3p
hsa-miR-367-5p
hsa-miR-29b-3p
hsa-miR-29c-3p
hsa-miR-15b-3p
hsa-miR-532-5p
hsa-miR-3134
hsa-miR-29a-3p
hsa-miR-335-3p
hsa-miR-132-3p
hsa-miR-140-3p
hsa-miR-212-3p
hsa-miR-92a-1-5p
hsa-miR-154-3p
hsa-miR-139-5p
hsa-miR-142-5p
hsa-miR-28-3p
hsa-miR-145-3p
hsa-miR-223-5p
hsa-miR-215-3p
hsa-miR-182-5p
hsa-miR-155-5p
hsa-miR-361-5p
hsa-miR-340-5p
hsa-miR-302a-5p
hsa-miR-590-3p
hsa-miR-1244
hsa-miR-511-5p
hsa-miR-198
hsa-miR-16-1-3p
hsa-miR-126-5p
hsa-miR-380-5p
hsa-miR-338-5p
hsa-miR-217-3p
hsa-miR-6740-3p
hsa-miR-582-5p
hsa-miR-26a-1-3p
hsa-miR-140-5p
hsa-miR-1-3p
hsa-miR-206
hsa-miR-15a-3p
hsa-miR-373-5p
hsa-miR-371b-5p
hsa-miR-760
hsa-miR-424-3p
hsa-miR-331-5p
hsa-miR-875-5p
hsa-miR-152-3p
hsa-miR-148b-3p
hsa-miR-148a-3p
hsa-miR-23a-3p
hsa-miR-23b-3p
hsa-miR-34c-3p
hsa-miR-320b
hsa-miR-320a-3p
hsa-miR-324-3p
hsa-miR-130a-3p
hsa-miR-130b-3p
hsa-miR-7110-3p
hsa-miR-26b-5p
hsa-miR-26a-5p
hsa-miR-33a-5p
hsa-miR-454-3p
hsa-miR-142-3p
hsa-miR-511-3p
hsa-miR-574-5p
hsa-miR-6833-5p
hsa-miR-31-5p
hsa-let-7g-3p
hsa-miR-138-5p
hsa-miR-9851-3p
hsa-let-7f-1-3p
hsa-miR-196a-5p
hsa-miR-193a-3p
hsa-miR-193b-3p
hsa-miR-210-3p
hsa-miR-150-3p
(169, 4)
mean: 19.03463855421687
stdev: 96.53079641540555
max: 96.53079641540555
min: 96.53079641540555
mean: 299.14792899408286
stdev: 250.93158930387057
max: 1089.0
min: 50.0
mean: 3
stdev: 2.449489742783178
max: 11
max: 1
